T	T_Z	T_Z	T_U	T_M	PWM
01:12:17	81.66953	81.99216	25.51958	83.6792	0.02
01:12:17	81.66953	81.99216	25.5501	83.70972	0.02
01:12:18	81.66953	81.99216	25.5501	83.69141	0.02
01:12:18	81.66953	82.00638	25.53484	83.6731	0.02
01:12:19	81.66953	82.00638	25.46464	83.65479	0.02
01:12:19	81.67245	82.00638	25.49516	83.6731	0.02
01:12:20	81.67245	82.00638	25.4738	83.66699	0.02
01:12:20	81.67245	82.00562	25.52263	83.63647	0.02
01:12:21	81.66507	82.00562	25.52263	83.61816	0.02
01:12:21	81.66507	82.00562	25.50127	83.63037	0.02
01:12:22	81.66507	82.00562	25.49211	83.61206	0.02
01:12:22	81.66507	81.9996	25.51653	83.60596	0.02
01:12:23	81.66803	81.9996	25.48906	83.59375	0.02
01:12:23	81.66803	81.9996	25.47075	83.56934	0.02
01:12:24	81.66803	81.9996	25.45854	83.57544	0.02
01:12:24	81.67545	81.99588	25.47685	83.56323	0.02
01:12:25	81.67545	81.99588	25.49821	83.56934	0.02
01:12:25	81.67545	81.99588	25.52873	83.56323	0.02
01:12:26	81.67545	81.99588	25.52263	83.55103	0.02
01:12:26	81.6843	81.97644	25.50432	83.57544	0.02
01:12:27	81.6843	81.97644	25.51347	83.56934	0.02
01:12:27	81.6843	81.97644	25.4799	83.59375	0.02
01:12:28	81.6843	81.9697	25.51653	83.60596	0.02
01:12:28	81.68503	81.9697	25.4677	83.63037	0.02
01:12:29	81.68503	81.9697	25.44938	83.64868	0.02
01:12:29	81.68503	81.9697	25.49211	83.64868	0.02
01:12:30	81.67618	81.9697	25.50737	83.65479	0.02
01:12:30	81.67618	81.98837	25.52263	83.6792	0.02
01:12:31	81.67618	81.98837	25.4738	83.70972	0.02
01:12:31	81.67618	81.98837	25.54399	83.69751	0.02
01:12:32	81.67618	81.98837	25.52263	83.6792	0.02
01:12:32	81.66803	81.99734	25.51653	83.6792	0.02
01:12:33	81.66803	81.99734	25.53179	83.69751	0.02
01:12:33	81.66803	81.99734	25.50432	83.70972	0.02
01:12:34	81.67099	81.99734	25.51347	83.69751	0.02
01:12:34	81.67099	82.00781	25.5501	83.71582	0.02
01:12:35	81.67099	82.00781	25.51347	83.71582	0.02
01:12:35	81.67099	82.00781	25.50737	83.73413	0.02
01:12:36	81.67465	82.00781	25.49821	83.75244	0.02
01:12:36	81.67465	82.00259	25.47685	83.75244	0.02
01:12:37	81.67465	82.00259	25.4677	83.73413	0.02
01:12:37	81.6843	82.00259	25.46159	83.75244	0.02
01:12:38	81.6843	82.00409	25.52263	83.75244	0.02
01:12:38	81.6843	82.00409	25.4799	83.75244	0.02
01:12:39	81.6843	82.00409	25.50127	83.70972	0.02
01:12:39	81.68063	82.00409	25.49211	83.73413	0.02
01:12:40	81.68063	82.00409	25.46159	83.71582	0.02
01:12:40	81.68063	81.9899	25.46464	83.73413	0.02
01:12:41	81.68063	81.9899	25.49211	83.71582	0.02
01:12:41	81.66879	81.9899	25.4677	83.70972	0.02
01:12:42	81.66879	81.97122	25.50127	83.71582	0.02
01:12:42	81.66879	81.97122	25.50737	83.6792	0.02
01:12:43	81.67392	81.97122	25.45549	83.6731	0.02
01:12:43	81.67392	81.97122	25.49211	83.6792	0.02
01:12:44	81.67392	81.98911	25.49211	83.63647	0.02
01:12:44	81.67392	81.98911	25.4738	83.64868	0.02
01:12:45	81.67688	81.98911	25.44938	83.64868	0.02
01:12:45	81.67688	81.98911	25.47075	83.61816	0.02
01:12:46	81.67688	82.00107	25.4677	83.61816	0.02
01:12:46	81.67688	82.00107	25.49821	83.61206	0.02
01:12:47	81.67688	82.00107	25.40666	83.61816	0.02
01:12:47	81.67688	82.00705	25.4677	83.61206	0.02
01:12:48	81.67688	82.00705	25.44023	83.56934	0.02
01:12:48	81.67688	82.00705	25.48906	83.58765	0.02
01:12:49	81.67984	82.00705	25.49821	83.53271	0.02
01:12:49	81.67984	82.00186	25.47075	83.57544	0.02
01:12:50	81.67984	82.00186	25.45244	83.55103	0.02
01:12:51	81.67838	82.00186	25.51042	83.57544	0.02
01:12:51	81.67838	82.00186	25.4738	83.56934	0.02
01:12:52	81.67838	81.98242	25.42192	83.56934	0.02
01:12:52	81.67838	81.98242	25.42497	83.58765	0.02
01:12:53	81.67172	81.98242	25.45549	83.61206	0.02
01:12:53	81.67172	81.98242	25.45549	83.61816	0.02
01:12:54	81.67172	81.97946	25.44328	83.61206	0.02
01:12:54	81.67172	81.97946	25.45854	83.64868	0.02
01:12:55	81.67026	81.97946	25.43107	83.61816	0.02
01:12:55	81.67026	81.99216	25.44023	83.64868	0.02
01:12:56	81.67026	81.99216	25.42192	83.63647	0.02
01:12:56	81.66953	81.99216	25.41887	83.65479	0.02
01:12:57	81.66953	81.99216	25.46464	83.65479	0.02
01:12:57	81.66953	81.99216	25.44023	83.66699	0.02
01:12:58	81.66953	81.99362	25.44023	83.6792	0.02
01:12:58	81.67395	81.99362	25.43413	83.69751	0.02
01:12:59	81.67395	81.99362	25.38224	83.69751	0.02
01:12:59	81.67395	81.99362	25.43718	83.6792	0.02
01:13:00	81.67395	81.99362	25.43718	83.69141	0.02
01:13:00	81.67838	81.99362	25.42497	83.69751	0.02
01:13:01	81.67838	81.99063	25.46464	83.71582	0.02
01:13:01	81.67838	81.99063	25.4677	83.69141	0.02
01:13:02	81.67838	81.99063	25.44938	83.70972	0.02
01:13:02	81.67023	81.99063	25.3853	83.73413	0.02
01:13:03	81.67023	81.99063	25.46159	83.70972	0.02
01:13:03	81.67023	81.98914	25.3975	83.69751	0.02
01:13:04	81.66653	81.98914	25.42497	83.70972	0.02
01:13:04	81.66653	81.98914	25.40666	83.69141	0.02
01:13:05	81.66653	81.99884	25.42497	83.6792	0.02
01:13:05	81.66653	81.99884	25.40971	83.6731	0.02
01:13:06	81.67096	81.99884	25.41887	83.65479	0.02
01:13:06	81.67096	81.99884	25.42192	83.63647	0.02
01:13:07	81.67096	81.98166	25.43718	83.66699	0.02
01:13:07	81.67096	81.98166	25.44938	83.65479	0.02
01:13:08	81.67538	81.98166	25.40971	83.63037	0.02
01:13:08	81.67538	81.98166	25.42802	83.61816	0.02
01:13:09	81.67538	81.97794	25.3853	83.61206	0.02
01:13:09	81.67615	81.97794	25.39445	83.61816	0.02
01:13:10	81.67615	81.97794	25.44023	83.61816	0.02
01:13:10	81.67615	81.97794	25.3853	83.57544	0.02
01:13:11	81.67615	81.97946	25.3975	83.56934	0.02
01:13:11	81.67392	81.97946	25.40055	83.59375	0.02
01:13:12	81.67392	81.97946	25.3914	83.59375	0.02
01:13:12	81.67392	81.98019	25.42802	83.56323	0.02
01:13:13	81.67392	81.98019	25.35783	83.54492	0.02
01:13:13	81.67172	81.98019	25.40055	83.53271	0.02
01:13:14	81.67172	81.98019	25.40055	83.52661	0.02
01:13:14	81.67172	81.98169	25.3914	83.53271	0.02
01:13:15	81.67172	81.98169	25.37309	83.53271	0.02
